ID,Prob1
0, 0.88
1, 0.26
2, 0.25
3, 0.03
4, 0.05
5, 0.02
6, 0.04
7, 0.59
8, 0.04
9, 0.05
10, 0.50
11, 0.18
12, 0.68
13, 0.46
14, 0.32
15, 0.37
16, 0.08
17, 0.75
18, 0.04
19, 0.45
20, 0.74
21, 0.90
22, 0.15
23, 0.54
24, 0.21
25, 0.95
26, 0.88
27, 0.27
28, 0.35
29, 0.35
30, 0.50
31, 0.55
32, 0.11
33, 0.05
34, 0.75
35, 0.59
36, 0.25
37, 0.05
38, 0.03
39, 0.55
40, 0.03
41, 0.04
42, 0.43
43, 0.25
44, 0.75
45, 0.09
46, 0.46
47, 0.29
48, 0.77
49, 0.68
50, 0.45
51, 0.15
52, 0.96
53, 0.05
54, 0.05
55, 0.65
56, 0.04
57, 0.50
58, 0.04
59, 0.05
60, 0.05
61, 0.25
62, 0.25
63, 0.85
64, 0.03
65, 0.05
66, 0.35
67, 0.05
68, 0.05
69, 0.71
70, 0.05
71, 0.10
72, 0.17
73, 0.88
74, 0.97
75, 0.24
76, 0.32
77, 0.36
78, 0.25
79, 0.04
80, 0.38
81, 0.62
82, 0.59
83, 0.25
84, 0.38
85, 0.45
86, 0.97
87, 0.95
88, 0.35
89, 0.04
90, 0.03
91, 0.23
92, 0.82
93, 0.85
94, 0.50
95, 0.58
96, 0.05
97, 0.22
98, 0.46
99, 0.03
100, 0.65
101, 0.50
102, 0.04
103, 0.59
104, 0.05
105, 0.17
106, 0.55
107, 0.74
108, 0.77
109, 0.39
110, 0.05
111, 0.50
112, 0.96
113, 0.18
114, 0.50
115, 0.15
116, 0.05
117, 0.37
118, 0.03
119, 0.04
120, 0.54
121, 0.35
122, 0.47
123, 0.25
124, 0.05
125, 0.54
126, 0.86
127, 0.39
128, 0.72
129, 0.96
130, 0.03
131, 0.25
132, 0.33
133, 0.68
134, 0.81
135, 0.79
136, 0.68
137, 0.95
138, 0.05
139, 0.05
140, 0.23
141, 0.16
142, 0.81
143, 0.05
144, 0.68
145, 0.03
146, 0.47
147, 0.82
148, 0.55
149, 0.45
150, 0.65
151, 0.58
152, 0.10
153, 0.50
154, 0.10
155, 0.04
156, 0.38
157, 0.15
158, 0.03
159, 0.91
160, 0.79
161, 0.14
162, 0.19
163, 0.79
164, 0.96
165, 0.04
166, 0.03
167, 0.75
168, 0.03
169, 0.05
170, 0.04
171, 0.21
172, 0.44
173, 0.04
174, 0.46
175, 0.21
176, 0.59
177, 0.09
178, 0.75
179, 0.85
180, 0.55
181, 0.04
182, 0.05
183, 0.12
184, 0.25
185, 0.27
186, 0.75
187, 0.85
188, 0.75
189, 0.35
190, 0.03
191, 0.04
192, 0.39
193, 0.85
194, 0.38
195, 0.42
196, 0.59
197, 0.03
198, 0.96
199, 0.75
200, 0.05
201, 0.79
202, 0.30
203, 0.25
204, 0.47
205, 0.05
206, 0.03
207, 0.04
208, 0.21
209, 0.46
210, 0.75
211, 0.37
212, 0.50
213, 0.05
214, 0.50
215, 0.12
216, 0.50
217, 0.22
218, 0.15
219, 0.68
220, 0.97
221, 0.05
222, 0.97
223, 0.14
224, 0.96
225, 0.43
226, 0.95
227, 0.25
228, 0.75
229, 0.05
230, 0.68
231, 0.91
232, 0.05
233, 0.04
234, 0.21
235, 0.31
236, 0.03
237, 0.04
238, 0.75
239, 0.05
240, 0.05
241, 0.05
242, 0.38
243, 0.59
244, 0.04
245, 0.73
246, 0.79
247, 0.68
248, 0.26
249, 0.57
250, 0.25
251, 0.97
252, 0.04
253, 0.05
254, 0.65
255, 0.50
256, 0.96
257, 0.27
258, 0.05
259, 0.47
260, 0.35
261, 0.38
262, 0.05
263, 0.14
264, 0.17
265, 0.09
266, 0.04
267, 0.12
268, 0.28
269, 0.09
270, 0.12
271, 0.27
272, 0.38
273, 0.05
274, 0.53
275, 0.73
276, 0.58
277, 0.05
278, 0.54
279, 0.64
280, 0.31
281, 0.30
282, 0.09
283, 0.64
284, 0.95
285, 0.96
286, 0.12
287, 0.04
288, 0.14
289, 0.05
290, 0.70
291, 0.12
292, 0.35
293, 0.03
294, 0.29
295, 0.41
296, 0.04
297, 0.05
298, 0.68
299, 0.65
300, 0.25
301, 0.05
302, 0.88
303, 0.85
304, 0.13
305, 0.05
306, 0.04
307, 0.05
308, 0.35
309, 0.50
310, 0.04
311, 0.61
312, 0.05
313, 0.10
314, 0.97
315, 0.68
316, 0.69
317, 0.03
318, 0.25
319, 0.41
320, 0.55
321, 0.17
322, 0.38
323, 0.56
324, 0.05
325, 0.72
326, 0.61
327, 0.35
328, 0.09
329, 0.86
330, 0.97
331, 0.03
332, 0.81
333, 0.04
334, 0.11
335, 0.05
336, 0.37
337, 0.05
338, 0.05
339, 0.04
340, 0.41
341, 0.15
342, 0.35
343, 0.38
344, 0.04
345, 0.26
346, 0.05
347, 0.19
348, 0.66
349, 0.03
350, 0.09
351, 0.30
352, 0.04
353, 0.47
354, 0.03
355, 0.38
356, 0.15
357, 0.09
358, 0.19
359, 0.05
360, 0.05
361, 0.25
362, 0.38
363, 0.04
364, 0.05
365, 0.88
366, 0.04
367, 0.58
368, 0.53
369, 0.54
370, 0.96
371, 0.25
372, 0.65
373, 0.58
374, 0.50
375, 0.28
376, 0.21
377, 0.18
378, 0.50
379, 0.05
380, 0.95
381, 0.29
382, 0.04
383, 0.70
384, 0.77
385, 0.45
386, 0.42
387, 0.39
388, 0.35
389, 0.55
390, 0.47
391, 0.05
392, 0.45
393, 0.05
394, 0.47
395, 0.03
396, 0.11
397, 0.05
398, 0.15
399, 0.04
400, 0.05
401, 0.95
402, 0.43
403, 0.03
404, 0.29
405, 0.11
406, 0.43
407, 0.04
408, 0.12
409, 0.12
410, 0.05
411, 0.71
412, 0.70
413, 0.85
414, 0.18
415, 0.03
416, 0.05
417, 0.45
418, 0.35
419, 0.03
